node_0 0.154145,220.820580 0
node_1 0.852912,274.746394 0
node_2 3.847773,9.204659 2
node_3 6.460135,283.558428 0
node_4 7.558188,117.664855 0
node_5 7.879545,253.749836 0
node_6 8.901384,0.571168 0
node_7 10.726394,218.273177 0
node_8 16.048387,214.408745 2
node_9 17.377878,299.747847 1
node_10 19.691106,46.955776 1
node_11 21.734507,217.268718 0
node_12 22.857079,94.562426 2
node_13 25.656152,200.872589 0
node_14 27.251183,147.942599 0
node_15 27.891047,193.750012 0
node_16 29.090856,90.273558 0
node_17 29.409262,110.733513 0
node_18 29.515137,156.114086 0
node_19 29.918899,45.553021 1
node_20 39.124154,57.009830 0
node_21 39.195335,295.789419 0
node_22 47.498483,182.176032 0
node_23 47.895276,41.341218 0
node_24 50.603901,99.410478 1
node_25 51.979871,162.329957 2
node_26 54.877475,128.507125 0
node_27 56.173830,71.652211 0
node_28 60.956063,108.261425 0
node_29 64.279162,114.197157 0
node_30 64.941344,166.500641 0
node_31 66.686825,204.323494 0
node_32 69.549013,188.350382 1
node_33 70.898242,229.502464 0
node_34 71.046764,160.584567 0
node_35 72.454527,93.456733 0
node_36 74.239982,52.096753 0
node_37 74.907960,192.535287 0
node_38 75.228683,254.589876 0
node_39 76.062150,84.624298 0
node_40 84.399088,123.096853 0
node_41 84.910245,87.930557 1
node_42 87.934273,89.124769 1
node_43 93.565663,134.539309 0
node_44 95.417452,140.666953 0
node_45 95.799380,149.815648 0
node_46 96.783205,161.722355 0
node_47 101.879025,266.234250 0
node_48 103.294505,75.899947 0
node_49 104.386189,207.251649 0
node_50 106.730180,249.579256 0
node_51 119.995129,149.360434 0
node_52 120.129695,5.942601 1
node_53 120.621254,151.949119 0
node_54 123.462109,33.502391 0
node_55 123.528807,165.774117 0
node_56 126.945660,159.175715 0
node_57 127.391249,206.046922 1
node_58 130.473742,187.528508 0
node_59 137.532744,180.049679 0
node_60 146.171775,24.743903 0
node_61 147.482219,287.386174 0
node_62 149.518290,26.950827 0
node_63 154.563789,244.091988 0
node_64 157.146092,8.490925 0
node_65 157.349928,196.281040 0
node_66 161.763032,292.702444 1
node_67 163.246672,83.552287 0
node_68 165.044076,187.082648 0
node_69 171.201983,258.747431 0
node_70 171.255488,153.834527 0
node_71 171.626040,176.572904 0
node_72 176.814926,278.883491 0
node_73 176.950256,167.817735 0
node_74 177.787126,244.318365 1
node_75 178.442579,17.736195 0
node_76 181.193431,122.885483 0
node_77 181.398086,282.152726 1
node_78 186.818495,110.907853 0
node_79 187.750988,153.926252 0
node_80 188.429451,38.025879 0
node_81 193.511660,128.606529 0
node_82 194.846838,165.529515 0
node_83 199.368016,131.314256 1
node_84 201.548732,120.056487 0
node_85 203.725403,65.565916 1
node_86 205.252539,195.912062 0
node_87 207.607376,90.456804 0
node_88 208.151441,9.096764 0
node_89 213.272159,169.133879 1
node_90 214.910512,190.993264 0
node_91 216.344330,193.361935 0
node_92 218.754218,249.160176 0
node_93 221.947734,196.212423 1
node_94 225.228917,88.201894 0
node_95 225.771911,61.974799 0
node_96 225.948383,45.289213 1
node_97 226.747052,121.140986 0
node_98 234.226225,27.635287 0
node_99 234.910492,117.975300 0
node_100 236.581475,108.541644 0
node_101 239.162562,32.214334 0
node_102 240.316513,219.069443 0
node_103 244.621551,263.403528 0
node_104 247.936238,104.304513 1
node_105 248.378429,210.086362 0
node_106 254.250079,249.659381 0
node_107 259.600504,209.015750 0
node_108 263.953454,293.329043 0
node_109 264.162937,89.133678 1
node_110 268.308519,29.236386 0
node_111 268.902524,96.625191 0
node_112 269.097587,204.796046 0
node_113 270.082544,284.964962 0
node_114 278.096041,286.483632 1
node_115 279.853929,222.554688 0
node_116 292.164562,63.768285 1
node_117 292.572486,23.836087 2
node_118 293.075061,22.287300 1
node_119 293.678807,276.663678 0
