node_0 0.154145,220.820580 0
node_1 0.852912,274.746394 0
node_2 7.558188,117.664855 1
node_3 7.879545,253.749836 0
node_4 8.901384,0.571168 0
node_5 19.691106,46.955776 0
node_6 22.857079,94.562426 0
node_7 25.656152,200.872589 0
node_8 27.251183,147.942599 1
node_9 29.090856,90.273558 1
node_10 29.515137,156.114086 1
node_11 29.918899,45.553021 1
node_12 39.124154,57.009830 2
node_13 39.195335,295.789419 1
node_14 47.498483,182.176032 0
node_15 47.895276,41.341218 0
node_16 51.979871,162.329957 0
node_17 54.877475,128.507125 0
node_18 56.173830,71.652211 0
node_19 60.956063,108.261425 0
node_20 64.279162,114.197157 0
node_21 66.686825,204.323494 0
node_22 69.549013,188.350382 0
node_23 71.046764,160.584567 0
node_24 72.454527,93.456733 0
node_25 74.239982,52.096753 0
node_26 74.907960,192.535287 0
node_27 76.062150,84.624298 0
node_28 84.399088,123.096853 0
node_29 84.910245,87.930557 0
node_30 87.934273,89.124769 0
node_31 95.417452,140.666953 0
node_32 96.783205,161.722355 0
node_33 104.386189,207.251649 1
node_34 106.730180,249.579256 0
node_35 119.995129,149.360434 0
node_36 123.528807,165.774117 0
node_37 126.945660,159.175715 0
node_38 127.391249,206.046922 1
node_39 130.473742,187.528508 1
node_40 137.532744,180.049679 0
node_41 147.482219,287.386174 0
node_42 149.518290,26.950827 0
node_43 154.563789,244.091988 0
node_44 157.146092,8.490925 0
node_45 157.349928,196.281040 0
node_46 161.763032,292.702444 0
node_47 163.246672,83.552287 0
node_48 165.044076,187.082648 0
node_49 171.201983,258.747431 0
node_50 171.255488,153.834527 0
node_51 171.626040,176.572904 0
node_52 176.814926,278.883491 0
node_53 176.950256,167.817735 0
node_54 177.787126,244.318365 0
node_55 178.442579,17.736195 0
node_56 181.193431,122.885483 2
node_57 181.398086,282.152726 1
node_58 186.818495,110.907853 0
node_59 188.429451,38.025879 0
node_60 194.846838,165.529515 0
node_61 199.368016,131.314256 0
node_62 203.725403,65.565916 0
node_63 205.252539,195.912062 0
node_64 207.607376,90.456804 0
node_65 208.151441,9.096764 0
node_66 213.272159,169.133879 0
node_67 214.910512,190.993264 1
node_68 216.344330,193.361935 0
node_69 218.754218,249.160176 0
node_70 221.947734,196.212423 0
node_71 225.228917,88.201894 0
node_72 225.771911,61.974799 0
node_73 225.948383,45.289213 0
node_74 226.747052,121.140986 0
node_75 234.910492,117.975300 0
node_76 236.581475,108.541644 0
node_77 239.162562,32.214334 0
node_78 240.316513,219.069443 0
node_79 244.621551,263.403528 0
node_80 259.600504,209.015750 0
node_81 264.162937,89.133678 0
node_82 268.308519,29.236386 0
node_83 268.902524,96.625191 2
node_84 269.097587,204.796046 0
node_85 278.096041,286.483632 0
node_86 279.853929,222.554688 0
node_87 292.572486,23.836087 1
node_88 293.075061,22.287300 0
node_89 293.678807,276.663678 2
