node_0 0.154145,220.820580 0
node_1 0.852912,274.746394 0
node_2 7.558188,117.664855 0
node_3 7.879545,253.749836 1
node_4 8.901384,0.571168 0
node_5 19.691106,46.955776 0
node_6 25.656152,200.872589 0
node_7 27.251183,147.942599 0
node_8 29.090856,90.273558 0
node_9 39.124154,57.009830 0
node_10 39.195335,295.789419 1
node_11 47.498483,182.176032 1
node_12 51.979871,162.329957 0
node_13 54.877475,128.507125 0
node_14 56.173830,71.652211 0
node_15 60.956063,108.261425 0
node_16 64.279162,114.197157 0
node_17 66.686825,204.323494 0
node_18 69.549013,188.350382 1
node_19 71.046764,160.584567 1
node_20 72.454527,93.456733 0
node_21 74.239982,52.096753 1
node_22 74.907960,192.535287 2
node_23 76.062150,84.624298 0
node_24 84.399088,123.096853 0
node_25 84.910245,87.930557 0
node_26 87.934273,89.124769 0
node_27 95.417452,140.666953 1
node_28 104.386189,207.251649 0
node_29 106.730180,249.579256 0
node_30 119.995129,149.360434 0
node_31 123.528807,165.774117 0
node_32 126.945660,159.175715 0
node_33 127.391249,206.046922 0
node_34 130.473742,187.528508 1
node_35 137.532744,180.049679 0
node_36 147.482219,287.386174 1
node_37 149.518290,26.950827 0
node_38 154.563789,244.091988 2
node_39 157.146092,8.490925 1
node_40 161.763032,292.702444 0
node_41 163.246672,83.552287 0
node_42 165.044076,187.082648 1
node_43 171.201983,258.747431 0
node_44 171.626040,176.572904 0
node_45 176.814926,278.883491 0
node_46 176.950256,167.817735 0
node_47 177.787126,244.318365 1
node_48 178.442579,17.736195 0
node_49 181.193431,122.885483 1
node_50 181.398086,282.152726 0
node_51 186.818495,110.907853 0
node_52 188.429451,38.025879 0
node_53 194.846838,165.529515 1
node_54 199.368016,131.314256 1
node_55 203.725403,65.565916 0
node_56 207.607376,90.456804 0
node_57 208.151441,9.096764 2
node_58 213.272159,169.133879 0
node_59 216.344330,193.361935 1
node_60 218.754218,249.160176 0
node_61 225.228917,88.201894 0
node_62 225.771911,61.974799 0
node_63 225.948383,45.289213 0
node_64 226.747052,121.140986 0
node_65 234.910492,117.975300 1
node_66 236.581475,108.541644 2
node_67 239.162562,32.214334 0
node_68 240.316513,219.069443 1
node_69 244.621551,263.403528 1
node_70 259.600504,209.015750 0
node_71 264.162937,89.133678 0
node_72 268.308519,29.236386 0
node_73 268.902524,96.625191 0
node_74 269.097587,204.796046 0
node_75 278.096041,286.483632 2
node_76 279.853929,222.554688 0
node_77 292.572486,23.836087 0
node_78 293.075061,22.287300 2
node_79 293.678807,276.663678 0
