node_0 19.691106,46.955776 2
node_1 29.090856,90.273558 0
node_2 47.498483,182.176032 1
node_3 51.979871,162.329957 0
node_4 60.956063,108.261425 0
node_5 64.279162,114.197157 0
node_6 66.686825,204.323494 1
node_7 72.454527,93.456733 0
node_8 76.062150,84.624298 2
node_9 84.910245,87.930557 0
node_10 87.934273,89.124769 0
node_11 95.417452,140.666953 1
node_12 126.945660,159.175715 0
node_13 127.391249,206.046922 0
node_14 154.563789,244.091988 0
node_15 157.146092,8.490925 0
node_16 163.246672,83.552287 1
node_17 171.201983,258.747431 0
node_18 178.442579,17.736195 0
node_19 181.398086,282.152726 1
node_20 199.368016,131.314256 0
node_21 203.725403,65.565916 0
node_22 207.607376,90.456804 0
node_23 225.771911,61.974799 1
node_24 236.581475,108.541644 0
node_25 259.600504,209.015750 1
node_26 264.162937,89.133678 0
node_27 268.308519,29.236386 0
node_28 292.572486,23.836087 0
node_29 293.075061,22.287300 0
